generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.794512,4795.607319,0.115570,13.296984,63.000745,46.974638,0.569723,1.169870,0.877004,7.793427,0.779362,102.625143,1.403286,2.193081,33.266275,0.098758,0.198663,0.296864,22.163,0.385700,510.46,142.44,94.8,0.014147,0.985853,0,1,0.000000,0.000000,0.000000
1.999283,4435.242234,0.423001,12.369813,53.923997,25.398278,0.733752,1.256127,0.372432,7.678355,0.642033,51.424567,1.629713,1.466007,41.063816,0.142570,0.321834,0.401727,16.685,0.692800,503.41,190.10,80.8,0.009299,0.990701,0,1,0.000000,0.000000,0.000000
0.284495,4259.056096,0.373809,20.136044,79.929459,23.318338,0.817919,1.303927,0.319917,7.395540,0.777515,57.440975,1.408965,2.296037,34.847580,-0.050000,0.000166,0.016031,0.291,0.003234,7.90,0.12,97.5,0.013120,0.986880,0,1,0.000000,0.000000,0.000000
1.001299,5500.234632,0.267790,18.834047,50.734878,37.369679,0.737448,1.298517,0.536195,7.385721,0.830154,53.784617,1.579735,1.904274,32.063437,0.036689,0.057645,0.099053,17.408,0.110988,472.84,44.03,104.0,0.011206,0.988794,0,1,0.000000,0.000000,0.000000
2.329380,6154.755022,0.148104,14.583543,70.841523,40.392402,0.691062,1.100687,0.056085,7.777768,0.789158,107.536232,1.313267,1.490599,32.624359,0.433216,0.343577,0.541817,13.147,0.792675,489.77,249.45,98.9,0.014010,0.985990,1,1,0.000000,0.000000,0.000000
2.849405,6194.228507,0.241951,22.312407,60.139601,18.831917,0.586329,1.194594,0.599270,7.875462,0.845575,87.246288,1.298209,1.869092,31.357245,0.042479,0.078949,0.226846,8.654,0.174056,288.02,61.42,106.0,0.013181,0.986819,0,1,0.000000,0.000000,0.000000
1.126566,7098.449631,0.193220,19.686832,60.405021,34.632012,0.626174,1.352157,0.124773,8.527074,0.679442,75.470949,1.287637,2.091125,21.922631,0.097993,0.210683,0.393871,10.501,0.419621,355.70,131.70,85.7,0.011512,0.988488,0,1,0.000000,0.000000,0.000000
2.582438,2707.889623,0.332020,17.932998,50.139902,27.962061,0.571193,1.174018,0.656435,7.656541,0.873902,54.843730,1.694718,2.206303,24.781769,0.022428,0.031178,0.173646,5.776,0.186450,153.57,25.07,109.4,0.013082,0.986918,0,1,0.000000,0.000000,0.000000
1.144232,7161.576650,0.190336,18.279796,56.926743,44.409120,0.564907,1.217628,0.442560,7.575935,0.912607,83.597539,1.456417,1.589615,40.310090,0.106454,0.219549,0.337040,19.586,0.461789,581.83,184.33,114.9,0.014016,0.985984,0,1,0.000000,0.000000,0.000000
0.446658,5748.558729,0.317016,17.618190,50.539925,39.221052,0.757736,1.205496,0.410023,7.360079,0.762254,106.276405,1.706908,2.165008,38.021715,0.023619,0.007014,0.047131,5.715,0.035093,111.02,4.92,95.6,0.013537,0.986463,1,1,0.000000,0.000000,0.000000
1.670488,7584.686350,0.288623,12.812847,54.288196,25.141438,0.809621,1.131854,0.091802,8.014067,0.728780,64.385691,1.389697,2.067478,31.026071,0.161701,0.373909,0.517703,13.338,1.095480,515.16,250.70,89.4,0.009413,0.990587,0,1,0.000000,0.000000,0.000000
0.936268,2525.003636,0.225360,21.667612,70.315327,41.784992,0.783163,1.187489,0.520894,8.486904,0.869545,88.082810,1.596293,2.040511,26.972665,0.069544,0.036807,0.081353,11.574,0.077020,385.04,29.44,111.4,0.013508,0.986492,1,1,0.000000,0.000000,0.000000
0.692918,4634.286900,0.445543,10.600861,73.252154,26.620644,0.771747,1.182129,0.782127,7.851988,0.848508,68.901111,1.377445,1.347246,40.346431,0.048019,0.080128,0.097001,22.222,0.121640,686.00,62.55,106.0,0.009458,0.990542,0,1,0.000000,0.000000,0.000000
